dataset,station,sim,template,rX,rY,rMag,rVec,dAz,passX,passY,passMag
ingv,EEC1,sim2,template1,0.06255260044698846,0.4201952949517798,0.36099962429933086,0.31252769412039016,128.22017105624752,False,False,False
ingv,EEC1,sim1,template2,0.17705462320818785,0.29794462294884344,0.09960424126918876,0.2876560658583585,136.03628509848213,False,False,False
ingv,EEC1,sim1,template1,0.217771556886194,0.06308722153501348,0.20635757002353716,0.2702643078727509,87.2929738170463,False,False,False
ingv,EEC1,sim2,template2,0.3122056832765513,0.1696803361739665,0.2001799024571607,0.27369387876364976,52.92012914846461,False,False,False
ingv,EEC1,sim3,template1,0.5669542759380276,0.10370475985484083,0.47134188949365063,0.4158470806320985,40.47550046123877,True,False,False
ingv,EEC1,sim2,template2,0.38924440772819885,0.30880254855141204,0.2198758728004251,0.36339518210868804,62.140989908180934,False,False,False
ingv,EEC1,sim3,template2,0.12986013029097257,0.4767476242964323,0.17188580417162533,0.28523709072708586,95.67646250525324,False,True,False
ingv,EEC1,sim1,template1,0.03696471414078011,0.39608563363638455,0.203785262503634,0.34593583656227,156.65243897594092,False,False,False
ingv,EEC1,sim2,template3,0.34998153224961526,0.05382323288335137,0.3288166758365667,0.2911048669958146,20.976403252860187,False,False,False
ingv,EEC1,sim1,template3,0.23389811321036624,0.1513303385824126,0.12437092377807663,0.29448145302213086,97.84689268983834,False,False,False
ingv,EEC1,sim1,template3,0.22304255779688412,0.07746557592018269,0.2813191084947404,0.27445728642380124,108.88548146681877,False,False,False
ingv,EEC1,sim4,template1,0.17804008411879163,0.39058784211400194,0.1409761503546172,0.2807034766789468,50.53413048266008,False,False,False
ingv,EEC1,sim3,template2,0.40459381915696935,0.2736796141859079,0.23042236272030867,0.3713174075179112,53.61554485497119,False,False,False
ingv,EEC1,sim1,template3,0.30318413546285033,0.3018584670376362,0.05538771847034724,0.3549661598434027,115.48708796723274,False,False,False
ingv,EEC1,sim4,template2,0.15985842602121506,0.4352212098877334,0.09634568137408607,0.34658403312051395,36.35283815337415,False,False,False
ingv,EEC1,sim3,template2,0.4587154115234439,0.4925305274189842,0.4533261366566961,0.47141901512300155,13.029337607994421,True,True,True
ingv,EEC1,sim2,template3,0.4830565783788204,0.2643411435921796,0.37585584443158,0.44410818406528707,44.15193329251118,True,False,False
ingv,EEC1,sim1,template3,0.31744313219341913,0.292083156255882,0.007023676216639877,0.3453963669836846,111.25291542231672,False,False,False
ingv,EEC1,sim1,template1,0.2258165315929071,0.03670338364487772,0.3143038589235081,0.28020332322348296,86.18478699283793,False,False,False
ingv,EEC1,sim2,template1,0.34746502209770774,0.41178398218612483,0.04828157678580118,0.38322021525568545,81.12842423037162,False,False,False
ingv,EEC1,sim2,template1,0.3794516147002264,0.16841960309624104,0.1967230299521859,0.33576290028088007,133.2372800377786,False,False,False
ingv,EEC1,sim4,template1,0.5611947850280146,0.3632068900907098,0.09853105069524852,0.4882531763636787,86.64968319629092,True,False,False
ingv,EEC1,sim1,template3,0.3535901560564941,0.011556873513023286,0.34755658849722615,0.33997141387872737,75.49524179105026,False,False,False
ingv,EEC1,sim3,template1,0.12377642888854891,0.3337732374208388,0.29609444125728435,0.25922096296497804,78.76612849865715,False,False,False
ingv,EEC1,sim1,template3,0.3895599003699997,0.2642489341710401,0.21204166361507462,0.31866933319602475,111.0867279448299,False,False,False
ingv,EEC1,sim2,template3,0.3866417434484307,0.2446308835354145,0.1869477812978351,0.3283935110843217,122.20823234011833,False,False,False
ingv,EEC1,sim2,template2,0.2754608198328898,0.34188829846430274,0.27319895200447736,0.30913392696351516,104.46503693723442,False,False,False
ingv,EEC1,sim1,template3,0.25766243763372165,0.36890026843061324,0.10506697938517424,0.3288988916652728,38.92098177490235,False,False,False
ingv,EEC1,sim1,template3,0.3128696954098948,0.08504580773338745,0.2892374777901666,0.31333763737955667,90.25491977450086,False,False,False
ingv,EEC1,sim3,template1,0.32674697212165954,0.14260421336609488,0.4285292364086107,0.2647264521369875,169.88748062165234,False,False,False
ingv,EEC1,sim4,template3,0.4309169801687199,0.14750619499481255,0.23877819132408978,0.3193351575223986,90.28225130789053,True,False,False
ingv,EEC1,sim2,template1,0.4091141056876982,0.008402267415777513,0.3507552811487089,0.29074489843952295,31.28266629625103,False,False,False
ingv,EEC1,sim4,template1,0.04236322045214597,0.525259333443427,0.5337190333681588,0.4235195779660186,162.47680582980126,False,True,True
ingv,EEC1,sim1,template2,0.20363702941286338,0.30196862049273704,0.15005392853563881,0.25538186344106756,137.3934894730413,False,False,False
ingv,EEC1,sim1,template1,0.278431529066086,0.05268752629869856,0.4784957923286662,0.32316810252339406,105.72898428627282,False,False,True
ingv,EEC1,sim4,template1,0.21078529653566272,0.39327661211053205,0.03871139738638985,0.30670875385963414,53.555328016780976,False,False,False
