dataset,station,sim,template,rX,rY,rMag,rVec,dAz,passX,passY,passMag,peak_time
ingv,ECPN,sim4,template2,0.15267779968022618,0.5620795977737162,0.5601622855377734,0.4578834241852586,0.9367675470124293,False,False,False,2022-12-02 22:24:33
ingv,ECPN,sim2,template1,0.02763838324892856,0.6219599608335655,0.6297693406933281,0.4914362433445348,16.52902802632886,False,True,True,2022-11-20 18:04:18
ingv,ECPN,sim4,template3,0.05308961165757758,0.5296351461963543,0.5349936718217135,0.34265314431903193,155.41575538722026,False,False,False,2023-02-03 02:05:06
ingv,ECPN,sim3,template3,0.29701754909613715,0.6511672794808103,0.6218729017303187,0.5154607200840614,168.10236763054036,False,False,False,2023-01-26 14:04:13
ingv,ECPN,sim3,template3,0.40460258966579316,0.45369064858935815,0.4560821452379654,0.43305635939683856,46.55976141009366,False,False,False,2022-12-19 04:59:59
ingv,ECPN,sim1,template3,0.5837298997632616,0.5086208603181512,0.48443094956518284,0.5395320991587327,67.4242199539275,True,False,False,2023-02-09 08:27:54
ingv,ECPN,sim4,template2,0.4605715995805866,0.016886369982262103,0.04186852951987365,0.38950206708031243,82.90367841315262,False,False,False,2022-12-28 03:25:14
ingv,ECPN,sim3,template3,0.15244759702544924,0.6299534476255294,0.6255774309137215,0.5048903911693949,177.01393439027476,False,False,False,2022-12-29 13:50:55
ingv,ECPN,sim4,template3,0.35313048504294425,0.6565442305564353,0.6586121448299741,0.4829339659320087,31.611352467656072,False,False,False,2023-02-18 17:24:57
ingv,ECPN,sim4,template1,0.19504278391250268,0.4532177093580382,0.4836545804958465,0.36787712465435396,146.4238927095206,False,False,False,2023-01-31 06:41:25
ingv,ECPN,sim2,template3,0.050323107086993335,0.5643315960051325,0.5536249828614213,0.4256926331528207,10.015247209913703,False,False,False,2023-02-10 19:50:34
ingv,ECPN,sim2,template3,0.2067511561775035,0.5379589173786168,0.5411155726030888,0.4578151309785629,28.987405412456095,False,False,False,2022-12-24 11:20:17
ingv,ECPN,sim4,template3,0.5455281355914858,0.5396097658621264,0.5060598602913542,0.5711391640422675,38.629951472881,True,False,False,2023-01-10 16:46:14
ingv,ECPN,sim3,template3,0.5445339764172752,0.6148049244103344,0.6231467183690185,0.560632674078358,125.93286969636644,False,False,False,2023-01-04 11:56:19
ingv,ECPN,sim4,template3,0.17930890099092328,0.6097691040003419,0.6316414981194258,0.4699915060565358,29.48372671745304,False,False,False,2023-02-19 14:02:58
ingv,ECPN,sim4,template3,0.285271454840587,0.6226900851567804,0.6537050267681125,0.4917222899264179,144.49140259464303,False,False,False,2023-01-13 15:11:21
ingv,ECPN,sim2,template3,0.5080729623058914,0.5575402529758648,0.569208727870454,0.5249792050461121,63.079959617779885,True,False,False,2023-01-04 07:23:03
ingv,ECPN,sim4,template1,0.6213332041608498,0.2639688774829824,0.22525588555609063,0.4692410923954211,49.57487263293056,True,False,False,2023-01-10 19:43:10
ingv,ECPN,sim3,template3,0.6028856764832493,0.1913241442883652,0.30244415479234,0.5582862406335054,88.71591268225121,False,False,False,2023-02-04 00:00:01
ingv,ECPN,sim3,template3,0.376760167032977,0.5992086594746431,0.6375671301798466,0.5173541798291773,130.22085565754082,False,False,False,2023-01-06 23:04:25
ingv,ECPN,sim4,template3,0.23796970507435566,0.6281915805728622,0.644414856360933,0.47336643067727463,140.71125824909453,False,False,False,2023-02-11 23:55:58
ingv,ECPN,sim4,template3,0.22784106859807035,0.7725316532960627,0.7667020232713218,0.58297360941681,158.81588824211576,False,True,True,2023-01-04 02:21:31
ingv,ECPN,sim2,template3,0.14445681285070658,0.532077429650066,0.5576194166229703,0.3826609320494381,28.73929310663318,False,False,False,2023-01-15 15:48:31
ingv,ECPN,sim2,template2,0.07226242122583822,0.5536713833769535,0.5566790313684097,0.40873397793492494,7.533303132133924,False,False,False,2022-11-27 12:33:46
ingv,ECPN,sim4,template3,0.4928732206180664,0.6158290618242778,0.6020424760609094,0.5689579396519789,27.10806303838249,False,False,False,2023-01-21 12:26:34
ingv,ECPN,sim4,template3,0.5479191835975339,0.12786518365559563,0.22462733400531049,0.47239061180068875,89.36404420014958,True,False,False,2023-02-08 10:05:59
ingv,ECPN,sim4,template1,0.17484297923571654,0.6089482270274875,0.628474673101413,0.4424920349394933,147.34529815398542,False,False,False,2023-01-16 10:30:51
ingv,ECPN,sim4,template2,0.29812712502148236,0.572194990443437,0.5377913637484167,0.41343906048241424,152.5052488949644,False,False,False,2023-01-15 20:08:23
ingv,ECPN,sim2,template1,0.15793820654261242,0.60403247205792,0.626378414218823,0.4400514952467506,36.39149298845406,False,True,True,2023-02-07 14:56:07
ingv,ECPN,sim4,template3,0.07433963639722153,0.5401284605408839,0.5385351531741467,0.3920193273974708,15.989399356160861,False,False,False,2023-01-11 03:03:23
ingv,ECPN,sim3,template3,0.3413267560702901,0.6110802827724447,0.6299577157192993,0.4922196766657748,138.64967740527334,False,False,False,2023-01-01 05:58:47
ingv,ECPN,sim4,template3,0.6674646556709481,0.21092855211622213,0.11716548848583297,0.6101268889148266,70.49430253667212,True,False,False,2023-01-20 06:44:59
ingv,ECPN,sim2,template2,0.1747329960256486,0.6183408862017782,0.6158527685981754,0.4547266074300156,0.2040171039119578,False,False,False,2023-01-31 14:08:27
ingv,EEC1,sim2,template3,0.24188791194502793,0.4709379096338659,0.22476109124366098,0.37555668282067645,89.23796322777429,False,True,False,2022-12-09 03:41:44
ingv,EEC1,sim4,template1,0.4000224395449488,0.30961794045455787,0.5394354389152008,0.35680198738761515,27.40496138424071,False,False,True,2022-11-29 00:25:05
ingv,EEC1,sim3,template1,0.3191212324429726,0.2671151601139382,0.08082465065301694,0.29283388822688855,71.68051134439624,False,False,False,2022-12-01 16:03:11
ingv,EEC1,sim1,template1,0.09870670402263224,0.4263583018355038,0.17941598069917206,0.3951800609371616,49.032087692614205,False,False,False,2023-02-12 22:00:49
