dataset,station,component,method,peak_time,score,significant,snr,kurt,econc,leakage,vetoed,ulp_score,ulp_pass
experiment,EC1,dir,stack,2023-07-26 10:15:39,0.3444,False,4.37087700340701,0.30956479219250577,0.133745640753471,0.744881642880355,False,1.5289635908377255,True
ingv,EEC1,dir2,stack,2022-11-20 01:32:54,0.319,True,2.7783059028597945,-0.1714372678705085,0.07386436930401859,0.602646443467757,False,1.4838580847339946,True
ingv,ECPN,dir,stack,2022-11-23 08:57:23,0.3944,False,2.954340683403181,-0.8004415351890062,0.08326268543935685,1.4130395069918975,False,1.4806310693916456,False
experiment,EC10,dir2,stack,2023-07-31 02:19:21,0.4106,True,1.9579905362623742,-0.7789751817224895,0.023182052600638665,1.4988484512178293,False,1.459143291802645,False
ingv,ECPN,dir2,max,2023-02-20 08:36:17,0.611,False,1.5074802250030725,-0.14216972231842018,0.072083127049997,1.722187388452214,False,1.450197074267335,False
experiment,EC1,dir2,stack,2023-07-27 12:08:48,0.3952,False,3.925778941966147,-0.37574840299958856,0.03681229403278711,2.0221209621349625,False,1.4501626294930157,False
ingv,EEC1,dir2,max,2022-12-27 18:21:34,0.5888,False,0.9954264100425697,-0.3906044373809654,0.1340542299340839,1.0168331667537265,False,1.440333469366974,False
ingv,ECPN,dir2,max,2023-01-11 06:38:26,0.6247,True,1.9705292784560715,-0.9689607846463093,0.18306589470505535,1.6430332275067359,False,1.4380368588195422,False
ingv,EEC1,dir2,stack,2022-11-18 10:00:32,0.3566,True,2.4811986652604827,-0.30791146814694503,0.1130216075390779,0.5185503085508884,False,1.3952126940065415,True
ingv,EEC1,dir,stack,2022-11-30 03:10:40,0.3572,True,6.2417774564369255,-0.6902971860521316,0.1736590149386353,2.073503681887568,False,1.3865658899698867,False
ingv,ECPN,dir2,stack,2022-11-27 12:33:47,0.3887,True,4.131239519233519,-0.37685658457125193,0.16273966541498433,1.1590965081767195,False,1.3819084387612288,False
ingv,ECPN,dir2,max,2023-02-10 18:50:05,0.6277,True,2.3802342100946605,0.004923507602477173,0.1981512642815989,1.2339447087968685,False,1.3744345945216319,False
ingv,ECPN,dir2,max,2023-01-26 14:04:13,0.6542,True,1.7996618662545654,-0.11350312843590071,0.09721496460600347,1.9612353575431476,False,1.3699592225186665,False
ingv,ECPN,dir2,stack,2023-02-21 08:16:36,0.3847,True,2.5881477953453813,-0.12957370093545428,0.0882015023386739,0.8470842015553375,False,1.3637316445818617,True
ingv,EEC1,dir2,stack,2023-02-12 15:58:41,0.3095,False,1.7954024917714875,0.20749115637084614,0.021355479755084665,0.36024504419260367,False,1.3557210879705268,True
ingv,ECPN,dir2,stack,2023-02-08 03:37:45,0.3704,False,1.9071879817281376,-0.5889138640928087,0.05045160806181493,1.0108150543864882,False,1.3344062375894383,False
