dataset,kind,rho,chisq
ingv,spike glitch,-0.23419336953140002,4.054071323478821
ingv,spike glitch,0.4965932337686975,0.2054354846960431
ingv,spike glitch,0.42842445818651986,1.4036454296603058
ingv,spike glitch,0.432429103913249,1.5238940966127292
ingv,spike glitch,-0.37283834681815775,3.8410226502797236
ingv,spike glitch,-0.3892650563139439,4.186707634306372
ingv,spike glitch,0.3693441130388425,2.0716550905653057
ingv,spike glitch,-0.44961593910106523,3.628866455652049
ingv,spike glitch,0.408365045331229,2.963334212541025
ingv,spike glitch,-0.4884110965012785,2.6099094482051703
ingv,spike glitch,0.4210373079034519,1.5502003251552414
ingv,spike glitch,-0.36732055766282123,1.3715728464706056
ingv,spike glitch,-0.43262544756443255,4.528690178199071
ingv,spike glitch,-0.4891037547943017,2.59204629177938
ingv,spike glitch,0.3620472467742513,1.377700007603907
ingv,spike glitch,0.3849677935710481,6.055327653092278
ingv,spike glitch,0.4106695124936866,2.732402948006269
ingv,spike glitch,0.4369920111613929,2.856994965660806
ingv,spike glitch,-0.411159545503582,1.6927998976298115
ingv,spike glitch,0.4366883460799024,1.766797643683386
ingv,spike glitch,-0.3425776089008937,0.9436699974943853
ingv,spike glitch,0.3860976973446218,4.905462766083994
ingv,spike glitch,-0.47655445381401873,1.1579693034461003
ingv,spike glitch,0.5285103318958528,3.2396017978002
ingv,spike glitch,0.6250450032925435,1.8963476963545347
ingv,spike glitch,0.35612332674750774,1.6948796428672004
ingv,spike glitch,-0.4953634672521334,1.0631958318848005
ingv,spike glitch,-0.3289995095452975,1.713699975319749
ingv,spike glitch,-0.49247360540574786,0.979257759050742
ingv,spike glitch,-0.35848016578030306,2.845880901488199
ingv,spike glitch,0.32484091874289045,3.180113407690314
ingv,spike glitch,-0.2685067454273555,4.510319175569682
ingv,spike glitch,0.43358264856450107,6.489874736513962
ingv,spike glitch,-0.48431983353346686,1.118953463781834
ingv,spike glitch,-0.4343902958799558,3.0687386655950903
ingv,spike glitch,-0.39169734309743737,2.6403501765653017
ingv,spike glitch,0.33154128995315957,0.8934929465330846
ingv,noise,-0.32132538925733134,3.3663701625662137
ingv,noise,0.38718737744487824,3.037942609336016
ingv,noise,-0.3218211013033038,2.9488526787887674
ingv,noise,-0.40859849494347805,1.889830889118128
ingv,noise,-0.42334673499989206,1.6798319854117227
ingv,noise,-0.36160112583458337,2.8875454306552015
ingv,noise,-0.5129143874609708,3.3589150413387796
ingv,noise,-0.3689510938212804,3.11402674861995
ingv,noise,0.3037267597165912,6.041803858424152
ingv,noise,0.38516011206991096,3.279975935185697
ingv,noise,-0.33942529767304214,3.9017394122466764
ingv,noise,-0.44573305577465416,1.7105289085885882
ingv,noise,-0.36526836903504334,3.5913020494984775
ingv,noise,-0.3926519549558965,1.966632508463553
ingv,noise,0.3043545561835946,2.617353205325658
ingv,noise,-0.35702860398371783,2.4198750647833247
ingv,noise,-0.42043835898493315,2.433983135187482
ingv,noise,0.31839346005265384,4.798340920496754
ingv,noise,-0.4204049017820417,2.7968922301709283
ingv,noise,-0.43257297156133434,3.925612351262505
ingv,noise,-0.3203972174971681,4.0506820864375825
ingv,noise,-0.32349754985441137,2.623766852009187
ingv,noise,0.37394647988061125,0.9327729902690718
ingv,noise,0.4751206060488081,1.3770600957697952
ingv,noise,0.5184672002326469,1.7358052881898958
ingv,noise,-0.451913827632753,0.40242949514622
ingv,noise,-0.3302835579014679,4.637060431946412
ingv,noise,0.2912243236543657,2.406426490217138
ingv,noise,-0.2881627922665281,2.9765278036494287
ingv,noise,0.3394949260512434,1.937880562413657
ingv,noise,0.4282745447981526,4.6191946944210045
ingv,noise,-0.426202441260287,0.4877713208438155
ingv,noise,0.3227100694834954,2.871854305472414
ingv,noise,-0.5515511244458668,1.19172016828604
ingv,noise,0.3538385476328707,2.062989692983852
ingv,noise,-0.4250489669401045,1.1757061680987984
ingv,noise,0.4148352173741819,3.0212875358840376
ingv,noise,0.35280442678416424,5.214048252205371
ingv,noise,-0.3345122396446607,3.455662203262542
ingv,noise,0.5236571122857875,1.7181266443108256
ingv,noise,-0.3753545039834369,1.110005124089732
ingv,noise,-0.3506146165806502,3.0273883790099654
ingv,noise,0.4769372910416385,1.2366987658130133
ingv,noise,0.3035600545494434,2.186468169323412
ingv,noise,0.30773148450866145,4.285924294151888
ingv,noise,0.4139613135968137,3.343577373447513
ingv,noise,-0.48697017629667205,1.8101985914047036
ingv,noise,-0.2865697535940525,1.2358842823110165
ingv,noise,-0.4261236820159461,1.6676796341270799
ingv,noise,0.32736017899012976,1.5451207320126765
ingv,noise,-0.2950511796593807,0.9487345512953343
ingv,noise,-0.47605840319972315,1.8678423028634925
ingv,noise,-0.5559644982751926,1.194080972276509
ingv,noise,0.34429063013029954,3.957075610958679
ingv,noise,-0.5084307467454502,2.277141227246201
ingv,noise,-0.34979411090296525,1.5673542709318489
ingv,noise,0.4489984088709816,1.4960277047552915
ingv,noise,-0.26023047327336085,2.608451498262371
ingv,noise,0.3311946100080322,3.5369393411529653
ingv,noise,0.343941739680574,3.840881491287608
ingv,noise,-0.4608024249762596,0.27238613016882507
ingv,noise,0.6437391733035571,1.554694636391176
ingv,noise,-0.3218211013033042,2.9488526787887674
ingv,noise,0.29705613837546896,2.4163594870155527
ingv,noise,0.42889490509028383,1.738398556565904
ingv,noise,0.42735138221688346,2.5215871690368257
ingv,noise,0.47411662021411355,2.315318512862713
ingv,noise,-0.36546193232332674,2.1636723664280275
ingv,noise,0.4034842512862636,6.475224356327745
ingv,noise,0.45976930170174957,2.328226604358416
ingv,noise,0.39137961609759603,1.787612245503836
ingv,noise,0.3531678467185659,6.48124277194063
ingv,noise,0.34794028470579846,3.5956123247616376
ingv,noise,-0.40725467090988327,0.7128628429529609
ingv,noise,0.28451452304705,2.4908790747299827
ingv,noise,-0.4590054979015996,1.7291157004580595
ingv,noise,-0.34282816665274446,3.870650961329571
ingv,noise,-0.38478414206757816,3.9863349505333483
ingv,noise,0.3718136337326423,3.1934257250994595
ingv,noise,0.46010090607713716,2.3173848071393865
ingv,noise,-0.41707651661027006,0.6867341757940524
ingv,noise,0.4632083181608574,1.6591730121349066
ingv,noise,-0.3950068127922461,4.498361108286224
ingv,noise,-0.2799654934713359,2.2181499804101112
ingv,noise,0.49654662823090284,0.20533476022486796
ingv,noise,0.42842445818651986,1.4036454296603058
ingv,noise,0.43289418273510927,1.5239178153338
ingv,noise,-0.3676682889495295,2.0523491810583967
ingv,noise,-0.3277436533390105,4.388564040629467
ingv,noise,-0.4046012196460946,1.3188837004760334
ingv,noise,-0.43854216844607025,1.8545421909780344
ingv,noise,0.4036360393887296,2.354010278310843
ingv,noise,-0.4545471717255786,3.5136771212072104
ingv,noise,0.517285116895743,2.3311910312572754
ingv,noise,0.5548471904289136,0.8458409353765045
ingv,noise,0.42729616116193175,1.4732688202130912
ingv,noise,-0.4891037547943017,2.59204629177938
ingv,noise,0.3620472467742529,1.377700007603914
ingv,noise,-0.40894121791777127,1.4093805956409642
ingv,noise,0.36374889438589086,2.318175020906559
ingv,noise,0.4369920111613929,2.856994965660806
ingv,noise,-0.411159545503582,1.6927998976298115
ingv,noise,0.5322337774183806,2.8289870123245797
ingv,noise,-0.3425776089008937,0.9436699974943853
ingv,noise,-0.34563973020606686,3.6952316939686596
ingv,noise,-0.4765544538140189,1.1579693034461003
ingv,noise,0.37122183153558147,0.8116496795830183
ingv,noise,0.617946116952424,0.8542230190746254
ingv,noise,0.3561233267475078,1.6948796428672004
ingv,noise,-0.4953634672521334,1.0631958318848005
ingv,noise,-0.32899950954529833,1.713699975319749
ingv,noise,-0.612614319268505,0.36563023857333654
ingv,noise,0.3318156701703232,5.289100307861518
ingv,noise,-0.39234888079638097,1.7786487169207883
ingv,noise,0.23775648729046323,4.773684386945727
ingv,noise,0.44269570670113667,2.057426101712291
ingv,noise,0.4409941721488986,1.6633202816547599
ingv,noise,-0.3944968893412574,1.6224760651876375
ingv,noise,-0.3916973430974373,2.6403501765653017
ingv,noise,0.30475082523154284,1.8411408036076797
experiment,real signal,0.9150078998071572,0.16871717962601476
experiment,real signal,0.9551910031829425,0.0471184253622327
experiment,real signal,0.8993101926081305,0.5216044027922017
experiment,real signal,0.9521230145698455,0.10150903429498151
experiment,real signal,0.8566311148191633,0.35324233999909643
experiment,real signal,0.8854794109800221,0.05357225193893612
experiment,real signal,0.9306091220172067,0.07724461253361539
experiment,real signal,0.9095260624493503,0.18185466459575197
experiment,real signal,0.8914439456235264,0.04134284269991262
experiment,real signal,0.9024899440669101,0.02967871595745719
experiment,real signal,0.8989211478621233,0.07841996994544526
experiment,real signal,0.8839121076694801,0.21484098017315725
experiment,real signal,0.8527396327996215,0.12813320894204014
experiment,real signal,0.9064245351513862,0.086832235975824
experiment,real signal,0.8928067316498935,0.17904140288940676
experiment,real signal,0.8901191620980464,0.35134698500284245
experiment,real signal,0.8887452158823493,0.1818773593066023
experiment,real signal,0.911783671854993,0.060841573185959584
experiment,real signal,0.9025095239758232,0.06654360500227198
experiment,real signal,0.913490767551521,0.04369426357157701
experiment,real signal,0.9149753365898624,0.14974771191364503
experiment,real signal,0.780945783272491,0.20176059753534287
experiment,real signal,0.870181442672869,0.10158981553127905
experiment,real signal,0.9067420758670792,0.10636036061955248
experiment,real signal,0.9055306159598214,0.1346105485372782
experiment,real signal,0.9238261921096353,0.18375923590094195
experiment,real signal,0.9610760368692235,0.02963217796692339
experiment,real signal,0.8849608719584523,0.06903401189757535
experiment,real signal,0.7991094671666378,0.3770074887500826
experiment,real signal,0.9159828730283293,0.06403589059568525
experiment,real signal,0.8928321409505647,0.1016180981596279
experiment,real signal,0.9058703899962232,0.1814479761799764
experiment,real signal,0.9052700100437054,0.16361709332832922
experiment,real signal,0.8828924063466524,0.1780517372217231
experiment,real signal,0.8743303299033495,0.5436197777965125
experiment,real signal,-0.8760153358627438,0.2828663827770601
