dataset,station,component,method,peak_time,score,significant,snr,kurt,econc,leakage,vetoed,ulp_score,ulp_pass
ingv,ECPN,mag,stack,2023-02-16 12:50:13,0.3976,True,1.7129216241150234,0.12832422416761036,0.0778707480564304,1.5478140088226082,False,-0.41494090123004174,False
ingv,ECPN,mag,stack,2022-12-30 16:31:02,0.3768,True,2.273786054469036,-0.5378175654864745,0.15448691266096196,1.5397652686216765,False,-0.4160123105719059,False
experiment,ECOR,dir,max,2023-07-31 06:28:39,0.6326,True,2.6795149462393906,1.3783572444309318,0.33432614403510513,1.0300808282001153,False,-0.4218837512276091,False
ingv,EEC1,dir,stack,2022-12-11 10:22:35,0.3294,False,2.870967315815767,-0.1321669719344558,0.23972878030731473,0.7496796355207986,False,-0.42410076309432587,True
ingv,ECPN,mag,stack,2023-02-19 14:02:58,0.3725,True,2.0871884975384334,-0.44005792452248604,0.17658298273485873,1.1858327015630192,False,-0.4264781750242945,False
ingv,ECPN,mag,stack,2023-02-11 06:52:45,0.3677,False,1.5413412165493154,-0.8636694393129538,0.13661738147797095,1.353611158878701,False,-0.4324912141403245,False
ingv,EEC1,mag,max,2023-01-13 05:39:38,0.5539,True,1.616813099566684,0.3197323386147355,0.27877226850677883,0.8837257408909045,False,-0.44747420937558224,True
ingv,EEC1,mag,stack,2022-12-24 13:31:02,0.3248,False,1.844948777996238,1.0561328247052124,0.06486955702930043,0.7933021606353243,False,-0.45046740049107314,True
ingv,ECPN,mag,stack,2023-01-31 06:41:25,0.3772,True,2.8667951716072526,-0.08523227814271594,0.21590859786807315,1.228916002745106,False,-0.45514834460133263,False
ingv,ECPN,mag,stack,2023-02-19 15:24:45,0.3889,True,2.4704180153500825,-0.3106432034848896,0.23651795685179014,1.0319923448932062,False,-0.4652291836311795,False
ingv,ECPN,mag,stack,2023-02-15 02:41:17,0.388,True,2.017365433000117,0.030473051073659718,0.09683932296657596,1.6260235323063434,False,-0.4722768914914546,False
ingv,EEC1,mag,stack,2023-02-10 15:04:14,0.3187,False,3.936576444104459,-0.5781253625261327,0.18302854768890184,2.043127670210752,False,-0.4742735632901558,False
ingv,EEC1,mag,stack,2022-12-16 22:36:39,0.3238,False,2.86742937534298,0.46294959361106125,0.19212248224926357,0.793961359302507,False,-0.4796749942620073,True
ingv,ECPN,mag,stack,2023-01-07 17:59:36,0.3979,True,1.6541669034054374,0.025464122264891476,0.06387711899520257,1.7313442123579261,False,-0.4909551433736366,False
ingv,EEC1,mag,max,2022-11-17 19:19:51,0.521,False,2.651818867750923,-0.5198026579413311,0.19632768931460132,2.424752590149709,False,-0.4995885275522146,False
ingv,EEC1,dir,stack,2023-01-02 08:27:21,0.3277,False,2.0147640100039914,0.4038867568822546,0.1407187471201286,0.7358927313048473,False,-0.508317379547875,True
