dataset,station,covered,absR,oriented_ReR
experiment,EC10,True,0.4034257987627338,0.27853121734693387
experiment,EC10,True,0.380981811079389,-0.10045784235305283
experiment,EC10,True,0.3803668591978783,0.21510532245047673
experiment,EC10,True,0.45118504074834387,0.33417704744293486
experiment,EC10,True,0.36698257607071477,-0.061295161101070694
experiment,EC10,True,0.4864387353038268,0.4859394844203648
experiment,EC10,True,0.38209987092627484,0.3801744040510101
experiment,EC10,True,0.49933737974975334,-0.21430592736033657
experiment,EC10,True,0.3747130134433883,0.0023772613564459755
experiment,EC10,True,0.40207433443556734,0.26188476439327274
experiment,EC10,True,0.3599087725099666,0.11152000309807823
experiment,EC10,True,0.39135098971351895,0.16476658331526028
experiment,EC10,True,0.41213880701234373,0.27006100555159523
experiment,EC10,True,0.3746651164719148,-0.16545661607046755
experiment,EC10,True,0.3669825760707154,-0.06129516110107075
experiment,EC10,True,0.39657588570761726,-0.10828452983335844
experiment,EC10,True,0.4864387353038285,0.48593948442036644
experiment,EC10,True,0.36253702548874,-0.34632258695576534
experiment,EC10,True,0.3746651164719132,-0.16545661607046688
experiment,EC10,True,0.35576567163726536,-0.26638793500406666
experiment,EC10,True,0.3765066095602622,-0.01601884336600179
experiment,EC10,True,0.39778745385183095,-0.3296361352608624
experiment,EC10,True,0.449618195333631,-0.24928977786365414
experiment,EC10,True,0.34202207016147246,-0.1580150803397507
experiment,EC10,True,0.3557656716372651,-0.26638793500406655
experiment,EC10,True,0.4590137424767803,-0.43791493255514446
experiment,EC10,True,0.335766746169702,0.1890242651986728
experiment,EC10,True,0.4020743344355664,0.26188476439327213
experiment,EC10,True,0.36253398090304445,0.15749128994842643
experiment,EC10,True,0.3923377210226809,-0.23486321188470055
experiment,EC10,True,0.4519531963096566,0.2770277091234315
experiment,EC10,True,0.35595377289376723,0.15629470430449005
experiment,EC10,True,0.359375498876317,0.3400367905678493
experiment,EC10,True,0.4643294307691024,-0.24662808752167706
experiment,EC10,True,0.3498376153610504,-0.1422347088125396
experiment,EC10,True,0.41238547241897844,0.3132126719845606
experiment,EC10,True,0.4864387353038269,0.48593948442036494
experiment,EC10,True,0.32618219324603703,-0.06695586356009173
experiment,EC10,True,0.33542962363767725,0.3223353925588863
experiment,EC10,True,0.41724954325507174,0.3651512293198882
experiment,EC10,True,0.3133485859457723,-0.23757985519305164
experiment,EC10,True,0.4093121442242493,-0.34398349908890263
experiment,EC10,True,0.3309720774877217,0.30019060167263506
experiment,EC10,True,0.37384610283489694,-0.30977367092035646
