dataset,kind,rho,chisq
ingv,real signal,0.8832525670812832,0.3566522539480677
ingv,real signal,0.9196448248701387,0.16991900652444508
ingv,real signal,0.9091274955960299,0.07536403931684095
ingv,real signal,0.8816235158865673,0.24461686045178196
ingv,real signal,0.89444227801109,0.19322924088020002
ingv,real signal,0.9008463238645921,0.1319604273661469
ingv,real signal,0.9151316253623064,0.19032205911073327
ingv,real signal,0.8866834799740001,0.07897586263321947
ingv,real signal,0.9457928067028268,0.09786265365923048
ingv,real signal,0.9265945218057274,0.16548710253711368
ingv,real signal,0.8885927697373655,0.14255828474834975
ingv,real signal,0.8815814217190042,0.3764104195542222
ingv,real signal,0.9355116454803157,0.21276886217231247
ingv,real signal,0.9109638505879016,0.11662218487953625
ingv,real signal,0.8917782596412064,0.18108984677103868
ingv,real signal,0.8779374847212165,0.3063463096692052
ingv,real signal,0.9251797567266563,0.21810667190033625
ingv,real signal,0.8947106252249788,0.23928898606721236
ingv,real signal,0.9140544682630857,0.23043485369520061
ingv,real signal,0.8922062730181893,0.10743030172048477
ingv,real signal,0.9026180139408471,0.19082360350125285
ingv,real signal,0.9028315719920756,0.2147137159706629
ingv,real signal,0.8992295874506341,0.368368026389898
ingv,real signal,0.8913852193617534,0.5039903533768065
ingv,real signal,0.9207279333837096,0.12498019155552173
ingv,real signal,0.9002651259907379,0.29371746683636624
ingv,real signal,0.8868853819862815,0.26429776084634027
ingv,real signal,0.9237543492821805,0.19270417898388295
ingv,real signal,0.9086384286755075,0.11682663776875968
ingv,real signal,0.9255934028091005,0.23413063275380283
ingv,real signal,0.8933512666578143,0.5048988056863726
ingv,real signal,0.9111776501670187,0.1305617150191477
ingv,real signal,0.9251415321537418,0.18237182175639366
ingv,real signal,0.9177902763921875,0.14305082626396207
ingv,real signal,0.9363972577103802,0.08892707775152839
ingv,real signal,0.9108107911438729,0.5457877165919434
ingv,real signal,0.9015658745780847,0.13026592993896385
ingv,real signal,0.852828637317921,0.3577086978513905
ingv,real signal,0.9322685389034765,0.08204577092788326
ingv,real signal,0.8721983969932948,0.17302550974412367
ingv,real signal,0.9001206012516226,0.39724054997785185
ingv,real signal,0.8700249506341632,0.13766435381297398
ingv,real signal,0.8766003434457036,0.21003365446370922
ingv,real signal,0.8936871143618567,0.055449168581250596
ingv,real signal,0.8652762902364118,0.37458165916759345
ingv,real signal,0.9141799559288616,0.0763918614926644
ingv,real signal,0.9196248641968666,0.06870343099212571
ingv,real signal,0.918489412385572,0.09990427105647952
ingv,real signal,0.931291541820958,0.23526719963660214
ingv,real signal,0.9138753889764076,0.28775863533218987
ingv,real signal,0.9095632842367699,0.45701766714436454
ingv,real signal,0.9079891060655135,0.19058880496901467
ingv,real signal,0.8671895016189927,0.25748309524847013
ingv,real signal,0.8884460185037043,0.14428611914107495
ingv,real signal,0.8855323711004935,0.2727170656297642
ingv,real signal,0.891546802002956,0.3440352968661471
ingv,real signal,0.8805635546047795,0.34421725966295325
ingv,real signal,0.879618918395381,0.3894017916397049
ingv,real signal,0.9414705492427624,0.10220332292471168
ingv,real signal,0.829755550842349,0.10789448895207618
