dataset,station,sim,template,csv_path,meta_path,fs,n_samples
experiment,EC10,sim2,template3,/home/owen/tilt_templates_csv/experiment/EC10_sim2_template3_0p001-0p01Hz_tpl.csv,/home/owen/tilt_templates_csv/experiment/EC10_sim2_template3_0p001-0p01Hz_tpl.meta.json,1.0,3334
experiment,EC10,sim2,template4,/home/owen/tilt_templates_csv/experiment/EC10_sim2_template4_0p001-0p01Hz_tpl.csv,/home/owen/tilt_templates_csv/experiment/EC10_sim2_template4_0p001-0p01Hz_tpl.meta.json,1.0,10001
experiment,EC10,sim3,template1,/home/owen/tilt_templates_csv/experiment/EC10_sim3_template1_0p001-0p01Hz_tpl.csv,/home/owen/tilt_templates_csv/experiment/EC10_sim3_template1_0p001-0p01Hz_tpl.meta.json,1.0,3333
experiment,EC10,sim3,template2,/home/owen/tilt_templates_csv/experiment/EC10_sim3_template2_0p001-0p01Hz_tpl.csv,/home/owen/tilt_templates_csv/experiment/EC10_sim3_template2_0p001-0p01Hz_tpl.meta.json,1.0,3333
experiment,EC10,sim3,template3,/home/owen/tilt_templates_csv/experiment/EC10_sim3_template3_0p001-0p01Hz_tpl.csv,/home/owen/tilt_templates_csv/experiment/EC10_sim3_template3_0p001-0p01Hz_tpl.meta.json,1.0,3334
experiment,EC10,sim3,template4,/home/owen/tilt_templates_csv/experiment/EC10_sim3_template4_0p001-0p01Hz_tpl.csv,/home/owen/tilt_templates_csv/experiment/EC10_sim3_template4_0p001-0p01Hz_tpl.meta.json,1.0,10001
experiment,EC10,sim4,template1,/home/owen/tilt_templates_csv/experiment/EC10_sim4_template1_0p001-0p01Hz_tpl.csv,/home/owen/tilt_templates_csv/experiment/EC10_sim4_template1_0p001-0p01Hz_tpl.meta.json,1.0,3333
experiment,EC10,sim4,template2,/home/owen/tilt_templates_csv/experiment/EC10_sim4_template2_0p001-0p01Hz_tpl.csv,/home/owen/tilt_templates_csv/experiment/EC10_sim4_template2_0p001-0p01Hz_tpl.meta.json,1.0,3333
experiment,EC10,sim4,template3,/home/owen/tilt_templates_csv/experiment/EC10_sim4_template3_0p001-0p01Hz_tpl.csv,/home/owen/tilt_templates_csv/experiment/EC10_sim4_template3_0p001-0p01Hz_tpl.meta.json,1.0,3334
experiment,EC10,sim4,template4,/home/owen/tilt_templates_csv/experiment/EC10_sim4_template4_0p001-0p01Hz_tpl.csv,/home/owen/tilt_templates_csv/experiment/EC10_sim4_template4_0p001-0p01Hz_tpl.meta.json,1.0,10001
experiment,ECIT,sim1,template1,/home/owen/tilt_templates_csv/experiment/ECIT_sim1_template1_0p001-0p01Hz_tpl.csv,/home/owen/tilt_templates_csv/experiment/ECIT_sim1_template1_0p001-0p01Hz_tpl.meta.json,1.0,3333
experiment,ECIT,sim1,template2,/home/owen/tilt_templates_csv/experiment/ECIT_sim1_template2_0p001-0p01Hz_tpl.csv,/home/owen/tilt_templates_csv/experiment/ECIT_sim1_template2_0p001-0p01Hz_tpl.meta.json,1.0,3333
experiment,ECIT,sim1,template3,/home/owen/tilt_templates_csv/experiment/ECIT_sim1_template3_0p001-0p01Hz_tpl.csv,/home/owen/tilt_templates_csv/experiment/ECIT_sim1_template3_0p001-0p01Hz_tpl.meta.json,1.0,3334
experiment,ECIT,sim1,template4,/home/owen/tilt_templates_csv/experiment/ECIT_sim1_template4_0p001-0p01Hz_tpl.csv,/home/owen/tilt_templates_csv/experiment/ECIT_sim1_template4_0p001-0p01Hz_tpl.meta.json,1.0,10001
experiment,ECIT,sim2,template1,/home/owen/tilt_templates_csv/experiment/ECIT_sim2_template1_0p001-0p01Hz_tpl.csv,/home/owen/tilt_templates_csv/experiment/ECIT_sim2_template1_0p001-0p01Hz_tpl.meta.json,1.0,3333
experiment,ECIT,sim2,template2,/home/owen/tilt_templates_csv/experiment/ECIT_sim2_template2_0p001-0p01Hz_tpl.csv,/home/owen/tilt_templates_csv/experiment/ECIT_sim2_template2_0p001-0p01Hz_tpl.meta.json,1.0,3333
experiment,ECIT,sim2,template3,/home/owen/tilt_templates_csv/experiment/ECIT_sim2_template3_0p001-0p01Hz_tpl.csv,/home/owen/tilt_templates_csv/experiment/ECIT_sim2_template3_0p001-0p01Hz_tpl.meta.json,1.0,3334
experiment,ECIT,sim2,template4,/home/owen/tilt_templates_csv/experiment/ECIT_sim2_template4_0p001-0p01Hz_tpl.csv,/home/owen/tilt_templates_csv/experiment/ECIT_sim2_template4_0p001-0p01Hz_tpl.meta.json,1.0,10001
experiment,ECIT,sim3,template1,/home/owen/tilt_templates_csv/experiment/ECIT_sim3_template1_0p001-0p01Hz_tpl.csv,/home/owen/tilt_templates_csv/experiment/ECIT_sim3_template1_0p001-0p01Hz_tpl.meta.json,1.0,3333
experiment,ECIT,sim3,template2,/home/owen/tilt_templates_csv/experiment/ECIT_sim3_template2_0p001-0p01Hz_tpl.csv,/home/owen/tilt_templates_csv/experiment/ECIT_sim3_template2_0p001-0p01Hz_tpl.meta.json,1.0,3333
experiment,ECIT,sim3,template3,/home/owen/tilt_templates_csv/experiment/ECIT_sim3_template3_0p001-0p01Hz_tpl.csv,/home/owen/tilt_templates_csv/experiment/ECIT_sim3_template3_0p001-0p01Hz_tpl.meta.json,1.0,3334
experiment,ECIT,sim3,template4,/home/owen/tilt_templates_csv/experiment/ECIT_sim3_template4_0p001-0p01Hz_tpl.csv,/home/owen/tilt_templates_csv/experiment/ECIT_sim3_template4_0p001-0p01Hz_tpl.meta.json,1.0,10001
experiment,ECIT,sim4,template1,/home/owen/tilt_templates_csv/experiment/ECIT_sim4_template1_0p001-0p01Hz_tpl.csv,/home/owen/tilt_templates_csv/experiment/ECIT_sim4_template1_0p001-0p01Hz_tpl.meta.json,1.0,3333
experiment,ECIT,sim4,template2,/home/owen/tilt_templates_csv/experiment/ECIT_sim4_template2_0p001-0p01Hz_tpl.csv,/home/owen/tilt_templates_csv/experiment/ECIT_sim4_template2_0p001-0p01Hz_tpl.meta.json,1.0,3333
experiment,ECIT,sim4,template3,/home/owen/tilt_templates_csv/experiment/ECIT_sim4_template3_0p001-0p01Hz_tpl.csv,/home/owen/tilt_templates_csv/experiment/ECIT_sim4_template3_0p001-0p01Hz_tpl.meta.json,1.0,3334
experiment,ECIT,sim4,template4,/home/owen/tilt_templates_csv/experiment/ECIT_sim4_template4_0p001-0p01Hz_tpl.csv,/home/owen/tilt_templates_csv/experiment/ECIT_sim4_template4_0p001-0p01Hz_tpl.meta.json,1.0,10001
experiment,ECOR,sim1,template1,/home/owen/tilt_templates_csv/experiment/ECOR_sim1_template1_0p001-0p01Hz_tpl.csv,/home/owen/tilt_templates_csv/experiment/ECOR_sim1_template1_0p001-0p01Hz_tpl.meta.json,1.0,3333
experiment,ECOR,sim1,template2,/home/owen/tilt_templates_csv/experiment/ECOR_sim1_template2_0p001-0p01Hz_tpl.csv,/home/owen/tilt_templates_csv/experiment/ECOR_sim1_template2_0p001-0p01Hz_tpl.meta.json,1.0,3333
experiment,ECOR,sim1,template3,/home/owen/tilt_templates_csv/experiment/ECOR_sim1_template3_0p001-0p01Hz_tpl.csv,/home/owen/tilt_templates_csv/experiment/ECOR_sim1_template3_0p001-0p01Hz_tpl.meta.json,1.0,3334
experiment,ECOR,sim1,template4,/home/owen/tilt_templates_csv/experiment/ECOR_sim1_template4_0p001-0p01Hz_tpl.csv,/home/owen/tilt_templates_csv/experiment/ECOR_sim1_template4_0p001-0p01Hz_tpl.meta.json,1.0,10001
experiment,ECOR,sim2,template1,/home/owen/tilt_templates_csv/experiment/ECOR_sim2_template1_0p001-0p01Hz_tpl.csv,/home/owen/tilt_templates_csv/experiment/ECOR_sim2_template1_0p001-0p01Hz_tpl.meta.json,1.0,3333
experiment,ECOR,sim2,template2,/home/owen/tilt_templates_csv/experiment/ECOR_sim2_template2_0p001-0p01Hz_tpl.csv,/home/owen/tilt_templates_csv/experiment/ECOR_sim2_template2_0p001-0p01Hz_tpl.meta.json,1.0,3333
experiment,ECOR,sim2,template3,/home/owen/tilt_templates_csv/experiment/ECOR_sim2_template3_0p001-0p01Hz_tpl.csv,/home/owen/tilt_templates_csv/experiment/ECOR_sim2_template3_0p001-0p01Hz_tpl.meta.json,1.0,3334
experiment,ECOR,sim2,template4,/home/owen/tilt_templates_csv/experiment/ECOR_sim2_template4_0p001-0p01Hz_tpl.csv,/home/owen/tilt_templates_csv/experiment/ECOR_sim2_template4_0p001-0p01Hz_tpl.meta.json,1.0,10001
experiment,ECOR,sim3,template1,/home/owen/tilt_templates_csv/experiment/ECOR_sim3_template1_0p001-0p01Hz_tpl.csv,/home/owen/tilt_templates_csv/experiment/ECOR_sim3_template1_0p001-0p01Hz_tpl.meta.json,1.0,3333
experiment,ECOR,sim3,template2,/home/owen/tilt_templates_csv/experiment/ECOR_sim3_template2_0p001-0p01Hz_tpl.csv,/home/owen/tilt_templates_csv/experiment/ECOR_sim3_template2_0p001-0p01Hz_tpl.meta.json,1.0,3333
